id,characteristics,color,count,country_of_origin,description,discount,guarantee,images,model,price,title,component_type_id
,"---Основные---<br>Производитель - Intel<br>Код производителя - CM8071504555318/CM8071504650609<br>Линейка - Core i5<br>Модель - 12400F<br>Socket - LGA 1700<br>Архитектура - Golden Cove<br>Ядро - Alder Lake<br>Количество ядер - 6<br>Количество потоков - 12<br>---Тактовая частота  ---<br>Тактовая частота - 2500 МГц<br>Частота процессора в режиме Turbo - 4400 МГц<br>Частота шины - DMI 4.0 (16 ГТ/с)<br>Коэффициент умножения - 25<br>Разблокированный множитель - нет<br>---Интегрированное графическое ядро  ---<br>Интегрированное графическое ядро - нет<br>---Объём кэша L2  ---<br>Объём кэша L2 - 7.5 Мб<br>Объём кэша L3 - 18 Мб<br>---Технологический процесс  ---<br>Технологический процесс - 10 нм<br>Максимальная рабочая температура - 100 °C<br>Типичное тепловыделение - 117 Вт, максимальное<br>Технологии - MMX, SSE, SSE2, SSE3, SSE4, Thread Director, Extended Memory 64, Advanced Bit Manipulation, Advanced Vector Extensions, Advanced Vector Extensions 2, Gaussian & Neural Accelerator, Hyper-Threading, Execute Disable Bit/No eXecute Bit, Enhanced Virus Protection, Virtualization Technology , Turbo Boost<br>Дата релиза - Q1 2022<br>Кулер в комплекте - нет<br>Тип поставки - OEM<br>Гарантия - 12 мес.<br>Сайт производителя - www.intel.com<br><br><br>",,96,Intel,,0,12,Процессор_1-0.png<br>,12400F,15000,Процессор Intel Core i5 - 12400F OEM,2
,"---Основные---<br>Производитель - AMD<br>Код производителя - 100-000000252<br>Линейка - Ryzen 5<br>Модель - 5600G<br>Socket - AM4<br>Архитектура - Zen 3<br>Ядро - Cezanne<br>Количество ядер - 6<br>Количество потоков - 12<br>---Интегрированное графическое ядро  ---<br>Интегрированное графическое ядро - да<br>Видеопроцессор - Radeon Vega 7<br>---Объём кэша L1  ---<br>Объём кэша L1 - 64 Кб<br>Объём кэша L2 - 3 Мб<br>Объём кэша L3 - 16 Мб<br>---Тактовая частота  ---<br>Тактовая частота - 3900 МГц<br>Частота процессора в режиме Turbo - 4400 МГц<br>Коэффициент умножения - 39<br>Разблокированный множитель - да<br>---Технологический процесс  ---<br>Технологический процесс - 7 нм<br>Максимальная рабочая температура - 95 °C<br>Типичное тепловыделение - 65 Вт<br>Технологии - MMX, SSE, SSE2, SSE3, SSE4, Advanced Vector Extensions, Advanced Vector Extensions 2, Simultaneous MultiThreading, Enhanced Virus Protection, Extended Frequency Range, Precision Boost, AMD64<br>Кулер в комплекте - нет<br>Тип поставки - OEM<br>Гарантия - 12 мес.<br>Сайт производителя - www.amd.com<br><br><br>",,99,AMD,,15,12,Процессор_2-0.png<br>,5600G,12570,Процессор AMD Ryzen 5 5600G OEM,2
,"---Основные---<br>Производитель - Intel<br>Код производителя - CM8071504821107/CM8071505093005<br>Линейка - Core i5<br>Модель - 13400F<br>Socket - LGA 1700<br>Архитектура - Golden Cove / Gracemont<br>Ядро - Raptor Lake<br>Количество ядер - 10<br>Количество потоков - 16<br>Высокопроизводительные ядра - 6<br>Энергоэффективные ядра - 4<br>---Интегрированное графическое ядро  ---<br>Интегрированное графическое ядро - нет<br>---Объём кэша L2  ---<br>Объём кэша L2 - 9.5 Мб<br>Объём кэша L3 - 20 Мб<br>---Тактовая частота  ---<br>Тактовая частота - 2500 МГц<br>Частота процессора в режиме Turbo - 4600 МГц<br>Частота шины - DMI 4.0 (16 ГТ/с)<br>Коэффициент умножения - 25<br>Разблокированный множитель - нет<br>---Технологический процесс  ---<br>Технологический процесс - 10 нм<br>Максимальная рабочая температура - 100 °C<br>Типичное тепловыделение - 65 Вт<br>Максимальное тепловыделение - 148 Вт<br>Технологии - MMX, SSE, SSE2, SSE3, SSE4, Thread Director, Extended Memory 64, Advanced Bit Manipulation, Advanced Vector Extensions, Advanced Vector Extensions 2, Gaussian & Neural Accelerator, Hyper-Threading, Execute Disable Bit/No eXecute Bit, Enhanced Virus Protection, Virtualization Technology , Turbo Boost<br>Дата релиза - Q1 2023<br>Кулер в комплекте - нет<br>Тип поставки - OEM<br>Гарантия - 12 мес.<br>Сайт производителя - www.intel.com<br><br><br>",,58,Intel,,5,12,Процессор_3-0.png<br>,13400F,20840,Процессор Intel Core i5 - 13400F OEM,2
,"---Основные---<br>Производитель - Intel<br>Код производителя - CM8071504555317/CM8071504650608<br>Линейка - Core i5<br>Модель - 12400<br>Socket - LGA 1700<br>Архитектура - Golden Cove<br>Ядро - Alder Lake<br>Количество ядер - 6<br>Количество потоков - 12<br>---Интегрированное графическое ядро  ---<br>Интегрированное графическое ядро - да<br>Видеопроцессор - Intel UHD Graphics 730<br>---Объём кэша L2  ---<br>Объём кэша L2 - 7.5 Мб<br>Объём кэша L3 - 18 Мб<br>---Тактовая частота  ---<br>Тактовая частота - 2500 МГц<br>Частота процессора в режиме Turbo - 4400 МГц<br>Частота шины - DMI 4.0 (16 ГТ/с)<br>Коэффициент умножения - 25<br>Разблокированный множитель - нет<br>---Технологический процесс  ---<br>Технологический процесс - 10 нм<br>Максимальная рабочая температура - 100 °C<br>Типичное тепловыделение - 117 Вт, максимальное<br>Технологии - MMX, SSE, SSE2, SSE3, SSE4, Thread Director, Extended Memory 64, Advanced Bit Manipulation, Advanced Vector Extensions, Advanced Vector Extensions 2, Gaussian & Neural Accelerator, Hyper-Threading, Execute Disable Bit/No eXecute Bit, Enhanced Virus Protection, Virtualization Technology , Turbo Boost<br>Кулер в комплекте - нет<br>Тип поставки - OEM<br>Гарантия - 12 мес.<br>Сайт производителя - www.intel.com<br><br><br>",,17,Intel,,5,12,Процессор_4-0.png<br>,12400,16630,Процессор Intel Core i5 - 12400 OEM,2
,"---Основные---<br>Производитель - Intel<br>Код производителя - CM8071504651012<br>Линейка - Core i3<br>Модель - 12100<br>Socket - LGA 1700<br>Архитектура - Golden Cove<br>Ядро - Alder Lake<br>Количество ядер - 4<br>Количество потоков - 8<br>---Интегрированное графическое ядро  ---<br>Интегрированное графическое ядро - да<br>Видеопроцессор - Intel UHD Graphics 730<br>---Объём кэша L2  ---<br>Объём кэша L2 - 5 Мб<br>Объём кэша L3 - 12 Мб<br>---Тактовая частота  ---<br>Тактовая частота - 3300 МГц<br>Частота процессора в режиме Turbo - 4300 МГц<br>Частота шины - DMI 4.0 (16 ГТ/с)<br>Коэффициент умножения - 33<br>Разблокированный множитель - нет<br>---Технологический процесс  ---<br>Технологический процесс - 10 нм<br>Максимальная рабочая температура - 100 °C<br>Типичное тепловыделение - 89 Вт, максимальное<br>Технологии - MMX, SSE, SSE2, SSE3, SSE4, Thread Director, Extended Memory 64, Advanced Bit Manipulation, Advanced Vector Extensions, Advanced Vector Extensions 2, Gaussian & Neural Accelerator, Hyper-Threading, Execute Disable Bit/No eXecute Bit, Enhanced Virus Protection, Virtualization Technology , Turbo Boost<br>Кулер в комплекте - нет<br>Тип поставки - OEM<br>Гарантия - 12 мес.<br>Сайт производителя - www.intel.com<br><br><br>",,16,Intel,,15,12,Процессор_5-0.png<br>,12100,11160,Процессор Intel Core i3 - 12100 OEM,2
,"---Основные---<br>Производитель - ID-COOLING<br>Код производителя - SL360 WHITE<br>Система охлаждения - жидкостная<br>Назначение - для процессора<br>Socket - LGA 115x/1200, LGA 1700, LGA 2011, 2011-3, LGA 2066, AM4, AM5<br>Максимальная рассеиваемая мощность - 350 Вт<br>Количество вентиляторов - 3<br>Размеры вентилятора - 120x120 мм<br>Скорость вращения вентилятора - 500-2000 об/мин<br>Уровень шума вентилятора - 29.9 дБ<br>Воздушный поток - 78 CFM<br>Тип подшипника - гидродинамический<br>Регулятор оборотов - PWM<br>---Размер радиатора  ---<br>Размер радиатора - 397х120х27 мм<br>Материал радиатора - алюминий<br>Монтажный размер радиатора - 360 мм<br>---Размер водоблока  ---<br>Размер водоблока - 76х76х58 мм<br>Материал водоблока - медь<br>Скорость помпы - 0-2100 об/мин<br>Уровень шума помпы - 25 дБ<br>Тип подшипника помпы - керамический<br>---ЖК дисплей  ---<br>ЖК дисплей - да<br>Подсветка - разноцветная<br>Цвета, использованные в оформлении - белый<br>Гарантия - 12 мес.<br>Сайт производителя - www.idcooling.com<br><br><br>",белый,39,ID,,15,12,Охлаждение_1-0.png<br>Охлаждение_1-1.png<br>Охлаждение_1-2.png<br>Охлаждение_1-3.png<br>Охлаждение_1-4.png<br>Охлаждение_1-5.png<br>Охлаждение_1-6.png<br>,,14470,Система жидкостного охлаждения ID-COOLING SL360 WHITE,3
,---Основные---<br>Производитель - ID-COOLING<br>Код производителя - ZERO M05<br>Высота радиатора - 6 мм<br>---Размеры (ШхВхГ)  ---<br>Размеры (ШхВхГ) - 22 x 6 x 73 мм<br>Гарантия - 12 мес.<br>Сайт производителя - www.idcooling.com<br><br><br>,,54,ID,,5,12,Охлаждение_2-0.png<br>Охлаждение_2-1.png<br>Охлаждение_2-2.png<br>Охлаждение_2-3.png<br>Охлаждение_2-4.png<br>Охлаждение_2-5.png<br>,,440,Радиатор для SSD ID-COOLING ZERO M05,3
,"---Основные---<br>Производитель - Arctic Cooling<br>Код производителя - ACFRE00101A<br>Система охлаждения - жидкостная<br>Назначение - для процессора<br>Socket - LGA 115x/1200, LGA 1700, LGA 2011, 2011-3, LGA 2066, AM3, AM3+, AM4, AM5<br>Количество вентиляторов - 3<br>Размеры вентилятора - 120x120 мм<br>Скорость вращения вентилятора - 200-1800 об/мин<br>Уровень шума вентилятора - 22.5 дБ<br>Воздушный поток - 48.8 CFM<br>Тип подшипника - гидродинамический<br>Регулятор оборотов - PWM<br>---Размер радиатора  ---<br>Размер радиатора - 398 x 120 x 38 мм<br>Материал радиатора - алюминий<br>Монтажный размер радиатора - 360 мм<br>---Материал водоблока  ---<br>Материал водоблока - медь<br>Размер помпы - 78 x 53 x 98 мм<br>Скорость помпы - 800-2000 об/мин<br>Тип коннектора помпы - 4-pin PWM<br>---Подсветка  ---<br>Подсветка - разноцветная<br>Тип подсветки - ARGB (Addressable RGB)<br>Разъём подключения подсветки - 3-pin<br>Цвета, использованные в оформлении - чёрный<br>Гарантия - 12 мес.<br>Сайт производителя - www.arctic.ac<br><br><br>",чёрный,74,Arctic Cooling,,5,12,Охлаждение_3-0.png<br>Охлаждение_3-1.png<br>Охлаждение_3-2.png<br>Охлаждение_3-3.png<br>Охлаждение_3-4.png<br>Охлаждение_3-5.png<br>Охлаждение_3-6.png<br>Охлаждение_3-7.png<br>Охлаждение_3-8.png<br>,,16890,Система жидкостного охлаждения Arctic Cooling Liquid Freezer II 360 A-RGB,3
,"---Основные---<br>Производитель - DeepCool<br>Код производителя - R-LE500-BKLNMG-G-1<br>Система охлаждения - жидкостная<br>Назначение - для процессора<br>Socket - LGA 115x/1200, LGA 1700, AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+<br>Максимальная рассеиваемая мощность - 220 Вт<br>Количество вентиляторов - 2<br>Размеры вентилятора - 120x120 мм<br>Скорость вращения вентилятора - 500-2250 об/мин<br>Уровень шума вентилятора - 32.9 дБ<br>Воздушный поток - 85.85 CFM<br>Тип подшипника - гидродинамический<br>Регулятор оборотов - PWM<br>---Материал водоблока  ---<br>Материал водоблока - медь<br>---Размер радиатора  ---<br>Размер радиатора - 282x120x27 мм<br>Материал радиатора - алюминий<br>Монтажный размер радиатора - 240 мм<br>---Подсветка  ---<br>Подсветка - зелёная<br>Цвета, использованные в оформлении - белый, чёрный<br>Дополнительная информация - размер помпы: 91x80x52 мм<br>Вес - 1.238 кг<br>Гарантия - 12 мес.<br>Сайт производителя - www.deepcool.com<br><br><br>","белый, чёрный",64,DeepCool,,5,12,Охлаждение_4-0.png<br>Охлаждение_4-1.png<br>Охлаждение_4-2.png<br>Охлаждение_4-3.png<br>Охлаждение_4-4.png<br>Охлаждение_4-5.png<br>Охлаждение_4-6.png<br>Охлаждение_4-7.png<br>,,6160,Система жидкостного охлаждения DeepCool LE500 Marrs,3
,---Основные---<br>Производитель - Jonsbo<br>---Вес  ---<br>Вес - 0.045 кг<br>Гарантия - 12 мес.<br>Сайт производителя - www.jonsbo.com<br><br><br>,,13,Jonsbo,,10,12,Охлаждение_5-0.png<br>Охлаждение_5-1.png<br>Охлаждение_5-2.png<br>Охлаждение_5-3.png<br>Охлаждение_5-4.png<br>,,750,Радиатор для SSD Jonsbo M.2-3 Gray,3
,"---Основные---<br>Производитель - Kingston<br>Код производителя - KF432C16BBK2/16<br>Форм-фактор - DIMM<br>Тип памяти - DDR4<br>Объём памяти - 16 Гб<br>Объём одного модуля - 8 Гб<br>Количество модулей в комплекте - 2<br>Тактовая частота - 3200 МГц<br>Пропускная способность - 25600 Мб/с<br>---CAS Latency (CL)  ---<br>CAS Latency (CL) - 16<br>RAS to CAS Delay (tRCD) - 18<br>Row Precharge Delay (tRP) - 18<br>---Напряжение питания  ---<br>Напряжение питания - 1.35 В<br>Поддержка XMP - да<br>Система охлаждения - пассивная (радиатор)<br>Низкопрофильная (Low Profile) - нет<br>Цвета, использованные в оформлении - чёрный<br>Гарантия - 60 мес.<br>Сайт производителя - www.kingston.com<br><br><br>",чёрный,54,Kingston,,10,60,Память_1-0.png<br>,,4850,Оперативная память 16Gb DDR4 3200MHz Kingston Fury Beast Black (KF432C16BBK2/16) (2x8Gb KIT),4
,---Основные---<br>Производитель - Kingston<br>Код производителя - KF432C16BB1K2/32<br>Форм-фактор - DIMM<br>Тип памяти - DDR4<br>Объём памяти - 32 Гб<br>Объём одного модуля - 16 Гб<br>Количество модулей в комплекте - 2<br>Тактовая частота - 3200 МГц<br>Пропускная способность - 25600 Мб/с<br>---CAS Latency (CL)  ---<br>CAS Latency (CL) - 16<br>RAS to CAS Delay (tRCD) - 18<br>Row Precharge Delay (tRP) - 18<br>---Напряжение питания  ---<br>Напряжение питания - 1.35 В<br>Поддержка XMP - да<br>Система охлаждения - пассивная (радиатор)<br>Низкопрофильная (Low Profile) - нет<br>Гарантия - 60 мес.<br>Сайт производителя - www.kingston.com<br><br><br>,,94,Kingston,,5,60,Память_2-0.png<br>,,8640,Оперативная память 32Gb DDR4 3200MHz Kingston Fury Beast Black (KF432C16BB1K2/32) (2x16Gb KIT),4
,---Основные---<br>Производитель - Kingston<br>Код производителя - KF560C40BBK2-32<br>Форм-фактор - DIMM<br>Тип памяти - DDR5<br>Объём памяти - 32 Гб<br>Объём одного модуля - 16 Гб<br>Количество модулей в комплекте - 2<br>Тактовая частота - 6000 МГц<br>Пропускная способность - 48000 Мб/с<br>---CAS Latency (CL)  ---<br>CAS Latency (CL) - 40<br>RAS to CAS Delay (tRCD) - 40<br>Row Precharge Delay (tRP) - 40<br>---Напряжение питания  ---<br>Напряжение питания - 1.35 В<br>Поддержка XMP - да<br>Система охлаждения - пассивная (радиатор)<br>Высота модуля - 35 мм<br>Низкопрофильная (Low Profile) - нет<br>Размеры (ШхВхГ) - 133 x 35 x 7 мм<br>Гарантия - 60 мес.<br>Сайт производителя - www.kingston.com<br><br><br>,,50,Kingston,,5,60,Память_3-0.png<br>,,14800,Оперативная память 32Gb DDR5 6000MHz Kingston Fury Beast (KF560C40BBK2-32) (2x16Gb KIT),4
,---Основные---<br>Производитель - Kingston<br>Код производителя - KF432C16BBK4/32<br>Форм-фактор - DIMM<br>Тип памяти - DDR4<br>Объём памяти - 32 Гб<br>Объём одного модуля - 8 Гб<br>Количество модулей в комплекте - 4<br>Тактовая частота - 3200 МГц<br>Пропускная способность - 25600 Мб/с<br>---CAS Latency (CL)  ---<br>CAS Latency (CL) - 16<br>RAS to CAS Delay (tRCD) - 18<br>Row Precharge Delay (tRP) - 18<br>Activate to Precharge Delay (tRAS) - 32<br>---Напряжение питания  ---<br>Напряжение питания - 1.35 В<br>Поддержка XMP - да<br>Система охлаждения - пассивная (радиатор)<br>Низкопрофильная (Low Profile) - нет<br>Гарантия - 60 мес.<br>Сайт производителя - www.kingston.com<br><br><br>,,79,Kingston,,15,60,Память_4-0.png<br>,,9380,Оперативная память 32Gb DDR4 3200MHz Kingston Fury Beast Black (KF432C16BBK4/32) (4x8Gb KIT),4
,---Основные---<br>Производитель - Kingston<br>Код производителя - KF432S20IBK2/32<br>Форм-фактор - SO-DIMM<br>Тип памяти - DDR4<br>Объём памяти - 32 Гб<br>Объём одного модуля - 16 Гб<br>Количество модулей в комплекте - 2<br>Тактовая частота - 3200 МГц<br>Пропускная способность - 25600 Мб/с<br>---CAS Latency (CL)  ---<br>CAS Latency (CL) - 20<br>RAS to CAS Delay (tRCD) - 22<br>Row Precharge Delay (tRP) - 22<br>---Напряжение питания  ---<br>Напряжение питания - 1.2 В<br>Поддержка XMP - да<br>Система охлаждения - нет<br>Низкопрофильная (Low Profile) - нет<br>Гарантия - 60 мес.<br>Сайт производителя - www.kingston.com<br><br><br>,,80,Kingston,,10,60,Память_5-0.png<br>,,8930,Оперативная память 32Gb DDR4 3200MHz Kingston Fury Impact SO-DIMM (KF432S20IBK2/32) (2x16Gb KIT),4
,"---Основные---<br>Производитель - Zalman<br>Типоразмер - Midi-Tower<br>Форм-фактор - ATX, mATX, Mini-ITX<br>Блок питания - без БП<br>Расположение БП - нижнее<br>---Материал корпуса  ---<br>Материал корпуса - сталь<br>Наличие окна на боковой стенке - да<br>Материал окна - закалённое стекло<br>Внутренние отсеки 2.5"" - 2<br>Внутренние отсеки 3.5"" - 2<br>Количество слотов расширения - 7<br>Размещение HDD - поперечное<br>Максимальная длина видеокарты - 315 мм<br>Максимальная высота кулера - 163 мм<br>Максимальная длина БП - 180 мм<br>Интерфейсы на лицевой панели - 2 x USB 2.0, USB 3.0, аудио<br>---Установленные вентиляторы  ---<br>Установленные вентиляторы - 2 x 120 мм на верхней панели, 120 мм на задней панели, 3 x 140 мм на передней панели<br>Места для дополнительных вентиляторов - 2 x 120 мм на нижней панели<br>---Подсветка корпуса  ---<br>Подсветка корпуса - да<br>Тип подсветки - FRGB (Fixed RGB)<br>Возможность установки СВО - да<br>Пылевой фильтр - на верхней панели, на нижней панели<br>Дополнительная информация - посадочные места передней панели совместимы с двумя вентиляторами 180 мм или тремя 120 мм<br>Цвета, использованные в оформлении - чёрный<br>Размеры (ШхВхГ) - 204 x 446 x 396 мм<br>Вес - 4.7 кг<br>Гарантия - 12 мес.<br>Сайт производителя - www.zalman.com<br><br><br>",чёрный,54,Zalman,,10,12,Корпус_1-0.png<br>Корпус_1-1.png<br>Корпус_1-2.png<br>Корпус_1-3.png<br>Корпус_1-4.png<br>Корпус_1-5.png<br>Корпус_1-6.png<br>Корпус_1-7.png<br>Корпус_1-8.png<br>Корпус_1-9.png<br>Корпус_1-10.png<br>,,5840,Корпус Zalman N4 Rev.1 Black,6
,"---Основные---<br>Производитель - Cougar<br>Типоразмер - Midi-Tower<br>Форм-фактор - E-ATX, ATX, mATX, Mini-ITX, SSI CEB<br>Блок питания - без БП<br>Расположение БП - нижнее<br>---Материал корпуса  ---<br>Материал корпуса - сталь<br>Наличие окна на боковой стенке - да<br>Материал окна - закалённое стекло<br>Внутренние отсеки 2.5"" - 2<br>Внутренние отсеки 3.5"" - 2<br>Количество слотов расширения - 10<br>Размещение HDD - поперечное<br>Вертикальное крепление SSD/HDD - да<br>Максимальная длина видеокарты - 390 мм<br>Максимальная высота кулера - 190 мм<br>Максимальная длина БП - 200 мм<br>Интерфейсы на лицевой панели - USB 2.0, 2 x USB 3.0, USB Type-C, аудио<br>---Установленные вентиляторы  ---<br>Установленные вентиляторы - 120 мм на задней панели, 3 x 120 мм на передней панели<br>Места для дополнительных вентиляторов - 2 x 140 мм на верхней панели, 2 x 120 мм на нижней панели<br>---Подсветка корпуса  ---<br>Подсветка корпуса - да<br>Тип подсветки - ARGB (Addressable RGB)<br>Возможность установки СВО - да<br>Пылевой фильтр - на верхней панели, на нижней панели, на фронтальной панели<br>Дополнительная информация - возможность установки видеокарты вертикально<br>Цвета, использованные в оформлении - белый<br>Размеры (ШхВхГ) - 240 x 496 x 465 мм<br>Вес - 10 кг<br>Гарантия - 12 мес.<br>Сайт производителя - www.cougargaming.com<br><br><br>",белый,58,Cougar,,0,12,Корпус_2-0.png<br>Корпус_2-1.png<br>Корпус_2-2.png<br>Корпус_2-3.png<br>Корпус_2-4.png<br>Корпус_2-5.png<br>Корпус_2-6.png<br>Корпус_2-7.png<br>,,8540,Корпус Cougar Airface Pro RGB White,6
,"---Основные---<br>Производитель - Zalman<br>Типоразмер - Midi-Tower<br>Форм-фактор - ATX, mATX, Mini-ITX<br>Блок питания - без БП<br>Расположение БП - нижнее<br>---Материал корпуса  ---<br>Материал корпуса - сталь<br>Наличие окна на боковой стенке - да<br>Материал окна - закалённое стекло<br>Внутренние отсеки 2.5"" - 3<br>Внутренние отсеки 3.5"" - 2<br>Количество слотов расширения - 7<br>Размещение HDD - поперечное<br>Максимальная длина видеокарты - 355 мм<br>Максимальная высота кулера - 160 мм<br>Интерфейсы на лицевой панели - USB 2.0, 2 x USB 3.0, аудио<br>---Установленные вентиляторы  ---<br>Установленные вентиляторы - 120 мм на задней панели, 3 x 120 мм на передней панели<br>Места для дополнительных вентиляторов - 2 x 140 мм на верхней панели, 2 x 120 мм на нижней панели<br>---Подсветка корпуса  ---<br>Подсветка корпуса - да<br>Возможность установки СВО - да<br>Дополнительная информация - в переднюю панель можно установить радиатор 280/360 мм<br>---сетчатая передняя панель для лучшего воздушного потока---<br>Цвета, использованные в оформлении - ........................................................................................................................................................................................................<br>Размеры (ШхВхГ) - ........................................................................................................................................................................................................<br>Вес - ........................................................................................................................................................................................................<br>Гарантия - ........................................................................................................................................................................................................<br>Сайт производителя - ........................................................................................................................................................................................................<br><br><br>",........................................................................................................................................................................................................,34,Zalman,,10,........................................................................................................................................................................................................,Корпус_3-0.png<br>Корпус_3-1.png<br>Корпус_3-2.png<br>Корпус_3-3.png<br>Корпус_3-4.png<br>Корпус_3-5.png<br>,,6660,Корпус Zalman I3 Neo Black,6
,"---Основные---<br>Производитель - Cougar<br>Типоразмер - Midi-Tower<br>Форм-фактор - E-ATX, ATX, mATX, Mini-ITX, SSI CEB<br>Блок питания - без БП<br>Расположение БП - нижнее<br>---Материал корпуса  ---<br>Материал корпуса - сталь<br>Наличие окна на боковой стенке - да<br>Материал окна - закалённое стекло, 4 мм<br>Внутренние отсеки 2.5"" - 2<br>Внутренние отсеки 3.5"" - 2<br>Количество слотов расширения - 10, 3 расположены вертикально<br>Размещение HDD - поперечное<br>Максимальная длина видеокарты - 330 мм<br>Максимальная высота кулера - 190 мм<br>Максимальная длина БП - 160 мм<br>Интерфейсы на лицевой панели - USB 2.0, 2 x USB 3.0, аудио<br>---Установленные вентиляторы  ---<br>Установленные вентиляторы - 120 мм на задней панели, 2 x 140 мм на передней панели<br>Места для дополнительных вентиляторов - 2 x 140 мм на верхней панели<br>---Подсветка корпуса  ---<br>Подсветка корпуса - да<br>Тип подсветки - ARGB (Addressable RGB)<br>Возможность установки СВО - да<br>Дополнительная информация - максимальная ширина материнской платы 277 мм;<br>---комплектуется контроллером подсветки---<br>Цвета, использованные в оформлении - ........................................................................................................................................................................................................<br>Размеры (ШхВхГ) - ........................................................................................................................................................................................................<br>Вес - ........................................................................................................................................................................................................<br>Гарантия - ........................................................................................................................................................................................................<br>Сайт производителя - ........................................................................................................................................................................................................<br><br><br>",........................................................................................................................................................................................................,50,Cougar,,0,........................................................................................................................................................................................................,Корпус_4-0.png<br>Корпус_4-1.png<br>Корпус_4-2.png<br>Корпус_4-3.png<br>Корпус_4-4.png<br>Корпус_4-5.png<br>Корпус_4-6.png<br>Корпус_4-7.png<br>Корпус_4-8.png<br>,,6980,Корпус Cougar Airface RGB Black,6
,"---Основные---<br>Производитель - Powercase<br>Код производителя - CMIXB-L4<br>Типоразмер - Midi-Tower<br>Форм-фактор - ATX, mATX, Mini-ITX<br>Блок питания - без БП<br>Расположение БП - нижнее<br>---Материал корпуса  ---<br>Материал корпуса - сталь<br>Наличие окна на боковой стенке - да<br>Материал окна - закалённое стекло<br>Внутренние отсеки 2.5"" - 2<br>Внутренние отсеки 3.5"" - 2<br>Безвинтовое крепление в отсеках - да<br>Количество слотов расширения - 7<br>Размещение HDD - продольное<br>Максимальная длина видеокарты - 310 мм<br>Максимальная высота кулера - 160 мм<br>Интерфейсы на лицевой панели - 2 x USB 2.0, USB 3.0, аудио<br>---Установленные вентиляторы  ---<br>Установленные вентиляторы - 120 мм на задней панели, 3 x 120 мм на передней панели<br>Места для дополнительных вентиляторов - 2 x 120 мм на верхней панели<br>---Подсветка корпуса  ---<br>Подсветка корпуса - да<br>Возможность установки СВО - да<br>Дополнительная информация - установка системы водяного охлаждения с радиаторами до 240 мм в передней и 120мм на задней панели<br>Цвета, использованные в оформлении - чёрный<br>Размеры (ШхВхГ) - 190 x 440 x 400 мм<br>Вес - 4.4 кг<br>Гарантия - 12 мес.<br>Сайт производителя - www.powercase.com.cn<br><br><br>",чёрный,84,Powercase,,15,12,Корпус_5-0.png<br>Корпус_5-1.png<br>Корпус_5-2.png<br>Корпус_5-3.png<br>Корпус_5-4.png<br>,,5000,Корпус Powercase Mistral X4 Mesh LED Black,6
,---Основные---<br>Производитель - DeepCool<br>Код производителя - PF750<br>Мощность - 750 Вт<br>Стандарт - ATX12V 2.4<br>PFC - активный<br>Размер вентилятора - 120 мм<br>---Тип разъёма для материнской платы  ---<br>Тип разъёма для материнской платы - 20+4 pin<br>Количество разъёмов 4+4-pin CPU - 1<br>Количество разъёмов 6+2-pin PCI-E - 4<br>Количество разъёмов 4-pin IDE (Molex) - 2<br>Количество разъёмов 15-pin SATA - 6<br>---Ток по линии +3.3 В  ---<br>Ток по линии +3.3 В - 15 A<br>Ток по линии +5 В - 15 A<br>Ток по линии +12 В 1 - 62 A<br>Ток по линии -12 В - 0.3 A<br>Ток по линии +5 В Standby - 2.5 A<br>---Защита от перенапряжения  ---<br>Защита от перенапряжения - да<br>Защита от перегрузки - да<br>Защита от короткого замыкания - да<br>Сертификат 80 PLUS - Standard<br>Отстёгивающиеся кабели - нет<br>Длина кабеля питания материнской платы - 55 см<br>Подсветка - нет<br>Гарантия - 36 мес.<br>Сайт производителя - www.deepcool.com<br><br><br>,,41,DeepCool,,15,36,Блок питания_1-0.png<br>Блок питания_1-1.png<br>Блок питания_1-2.png<br>,,5140,Блок питания 750W DeepCool PF750,7
,---Основные---<br>Производитель - Be Quiet<br>Код производителя - BN329<br>Мощность - 750 Вт<br>Стандарт - ATX12V 2.52<br>PFC - активный<br>Размер вентилятора - 120 мм<br>---Тип разъёма для материнской платы  ---<br>Тип разъёма для материнской платы - 20+4 pin<br>Количество разъёмов 4-pin CPU - 1<br>Количество разъёмов 4+4-pin CPU - 1<br>Количество разъёмов 6+2-pin PCI-E - 4<br>Количество разъёмов 4-pin IDE (Molex) - 1<br>Количество разъёмов 15-pin SATA - 6<br>---Ток по линии +3.3 В  ---<br>Ток по линии +3.3 В - 20 A<br>Ток по линии +5 В - 20 A<br>Ток по линии +12 В 1 - 62.5 A<br>Ток по линии -12 В - 0.3 A<br>Ток по линии +5 В Standby - 3 A<br>---Защита от перенапряжения  ---<br>Защита от перенапряжения - да<br>Защита от перегрузки - да<br>Защита от короткого замыкания - да<br>Сертификат 80 PLUS - Bronze<br>Отстёгивающиеся кабели - нет<br>Длина кабеля питания материнской платы - 55 см<br>Подсветка - нет<br>Вес - 1.95 кг<br>Гарантия - 36 мес.<br>Сайт производителя - www.bequiet.com<br><br><br>,,17,Be Quiet,,15,36,Блок питания_2-0.png<br>Блок питания_2-1.png<br>,,8300,Блок питания 750W Be Quiet System Power 10,7
